,dst_port,protocol,length,Dst_ip_range,Direction,Class
277,d-160,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
278,d-60478,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
279,d-947,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
280,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
281,d-195,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
282,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
283,d-947,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
284,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
285,d-195,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
286,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
287,d-647,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
288,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
289,d-647,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
290,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
291,d-485,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
292,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
293,d-707,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
294,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
295,d-485,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
296,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
297,d-707,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
298,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
299,d-485,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
300,d-60478,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
301,d-834,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
302,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
