,,,,,,1,2,3,4,5,6
c-CNC_COM,,,,,,,,,,,
d-0,,,,,,,,,,,
p-ICMP,,,,,,,,,,,
x-OUT,,,,,,,,,,,
r-PRIVATE,,,,,,,,,,,
l-2,,,,,,,,,,,
p-TCP,,,,,,,,,,,
c-NaN,,,,,,,,,,,
d-57312,x-OUT,,,,,,,,,,
d-57314,l-2,,,,,,,,,,
d-57314,r-PRIVATE,,,,,,,,,,
d-57314,x-OUT,,,,,,,,,,
d-57322,l-2,,,,,,,,,,
d-57322,r-PRIVATE,,,,,,,,,,
d-57322,x-OUT,,,,,,,,,,
d-57324,l-2,,,,,,,,,,
d-57324,r-PRIVATE,,,,,,,,,,
d-57324,x-OUT,,,,,,,,,,
d-57326,l-2,,,,,,,,,,
d-57326,r-PRIVATE,,,,,,,,,,
d-57326,x-OUT,,,,,,,,,,
d-57328,l-2,,,,,,,,,,
d-57328,r-PRIVATE,,,,,,,,,,
d-57328,x-OUT,,,,,,,,,,
d-57330,l-2,,,,,,,,,,
d-57330,r-PRIVATE,,,,,,,,,,
d-57330,x-OUT,,,,,,,,,,
d-57332,l-2,,,,,,,,,,
d-57332,r-PRIVATE,,,,,,,,,,
d-57332,x-OUT,,,,,,,,,,
d-57340,l-2,,,,,,,,,,
d-57340,r-PRIVATE,,,,,,,,,,
d-57340,x-OUT,,,,,,,,,,
d-57344,l-2,,,,,,,,,,
d-57344,r-PRIVATE,,,,,,,,,,
d-57344,x-OUT,,,,,,,,,,
d-57348,l-2,,,,,,,,,,
d-57348,r-PRIVATE,,,,,,,,,,
d-57348,x-OUT,,,,,,,,,,
d-57350,l-2,,,,,,,,,,
d-57350,r-PRIVATE,,,,,,,,,,
d-57350,x-OUT,,,,,,,,,,
d-57352,l-2,,,,,,,,,,
d-57352,r-PRIVATE,,,,,,,,,,
d-57352,x-OUT,,,,,,,,,,
d-57356,l-2,,,,,,,,,,
d-57356,r-PRIVATE,,,,,,,,,,
d-57356,x-OUT,,,,,,,,,,
d-57358,l-2,,,,,,,,,,
d-57358,r-PRIVATE,,,,,,,,,,
d-57358,x-OUT,,,,,,,,,,
d-57360,l-2,,,,,,,,,,
d-57360,r-PRIVATE,,,,,,,,,,
d-57360,x-OUT,,,,,,,,,,
d-57362,l-2,,,,,,,,,,
d-57362,r-PRIVATE,,,,,,,,,,
d-57362,x-OUT,,,,,,,,,,
d-57364,l-2,,,,,,,,,,
d-57364,r-PRIVATE,,,,,,,,,,
